Record_Date,Raw_pH,Raw_COD_mgL,Raw_BOD_mgL,Raw_TDS_mgL,Raw_TSS_mgL,Input_Lime_kg_m3,Input_Urea_kg_m3,Input_DAP_kg_m3,Output_Biogas_m3_m3,Operating_Shift,Production_Level,Plant_Status,Final_pH,Final_COD_mgL,Final_BOD_mgL,Final_TDS_mgL,Final_TSS_mgL,Month,Quarter,Season,Compliance
2024-01-01,4.29,131792.0,64672.0,95158.0,17425.0,3.39,0.5,0.13,367.65,Night,Low,Normal Operation,7.05,180.0,37.0,74.0,14.0,January,1,Dry Season,0
2024-01-02,4.18,126096.0,57575.0,73927.0,18742.0,2.5,0.33,0.13,376.27,Night,Medium,Maintenance,7.16,180.0,29.0,97.0,11.0,January,1,Dry Season,0
2024-01-03,4.32,115716.0,56108.0,86763.0,14523.0,2.5,0.38,0.09,370.2,Afternoon,Low,Normal Operation,7.0,78.0,8.0,92.0,13.0,January,1,Dry Season,1
2024-01-04,4.47,107237.0,49447.0,92710.0,14444.0,3.5,0.31,0.12,275.13,Morning,High,Normal Operation,7.26,180.0,21.0,111.0,11.0,January,1,Dry Season,0
2024-01-05,4.16,123379.0,65492.0,91655.0,13140.0,3.4,0.37,0.08,426.6,Afternoon,Low,Normal Operation,7.19,62.0,9.0,80.0,13.0,January,1,Dry Season,1
2024-01-06,4.16,119722.0,65221.0,110000.0,12399.0,3.18,0.34,0.08,399.28,Morning,High,Normal Operation,7.3,180.0,30.0,76.0,16.0,January,1,Dry Season,0
2024-01-07,4.48,125742.0,57493.0,93148.0,13740.0,2.64,0.33,0.05,326.92,Night,Medium,Normal Operation,7.1,180.0,33.0,116.0,18.0,January,1,Dry Season,0
2024-01-08,4.34,122622.0,66892.0,80964.0,18558.0,2.92,0.46,0.13,410.04,Morning,Medium,Normal Operation,7.15,180.0,37.0,109.0,8.0,January,1,Dry Season,0
2024-01-09,4.12,127595.0,64085.0,89141.0,14875.0,3.09,0.42,0.08,371.14,Morning,Low,Maintenance,7.24,180.0,32.0,79.0,7.0,January,1,Dry Season,0
2024-01-10,4.3,108577.0,52112.0,74014.0,19798.0,2.56,0.36,0.1,319.1,Afternoon,Medium,Normal Operation,7.36,180.0,22.0,99.0,10.0,January,1,Dry Season,0
2024-01-11,4.12,130809.0,59869.0,89275.0,18121.0,2.9,0.21,0.08,363.8,Morning,Medium,Normal Operation,7.26,125.0,31.0,124.0,6.0,January,1,Dry Season,0
2024-01-12,4.12,117371.0,58693.0,82502.0,12000.0,3.46,0.33,0.11,387.82,Morning,Medium,Normal Operation,7.23,63.0,14.0,101.0,15.0,January,1,Dry Season,1
2024-01-13,4.24,139903.0,74072.0,98239.0,20292.0,3.77,0.5,0.09,493.42,Afternoon,High,Normal Operation,7.29,180.0,34.0,106.0,15.0,January,1,Dry Season,0
2024-01-14,3.86,106730.0,55575.0,85054.0,20838.0,3.03,0.34,0.07,356.27,Morning,Medium,Maintenance,7.11,180.0,39.0,76.0,17.0,January,1,Dry Season,0
2024-01-15,3.89,135832.0,61806.0,88949.0,14521.0,3.5,0.42,0.11,342.04,Morning,Medium,Normal Operation,7.13,180.0,39.0,100.0,11.0,January,1,Dry Season,0
2024-01-16,4.1,117375.0,53674.0,84280.0,19471.0,2.5,0.44,0.07,370.17,Morning,Medium,Normal Operation,7.03,180.0,35.0,130.0,16.0,January,1,Dry Season,0
2024-01-17,4.02,107183.0,52550.0,105650.0,15002.0,3.46,0.36,0.08,343.12,Afternoon,Low,Normal Operation,7.15,71.0,14.0,78.0,11.0,January,1,Dry Season,1
2024-01-18,4.26,109193.0,52361.0,87109.0,18342.0,2.88,0.3,0.06,290.67,Afternoon,High,Normal Operation,7.23,180.0,44.0,80.0,10.0,January,1,Dry Season,0
2024-01-19,4.04,111156.0,52603.0,106493.0,13574.0,3.32,0.2,0.07,353.93,Afternoon,Medium,Normal Operation,7.09,180.0,34.0,98.0,15.0,January,1,Dry Season,0
2024-01-20,3.95,120090.0,57415.0,97327.0,12000.0,3.1,0.39,0.1,333.03,Afternoon,Low,Normal Operation,7.35,180.0,31.0,108.0,10.0,January,1,Dry Season,0
2024-01-21,4.46,121274.0,64317.0,94339.0,16660.0,3.73,0.3,0.06,409.63,Morning,Medium,Normal Operation,7.37,108.0,23.0,88.0,21.0,January,1,Dry Season,0
2024-01-22,4.16,108116.0,58698.0,93319.0,17567.0,2.85,0.36,0.07,363.93,Night,Medium,Normal Operation,7.15,180.0,27.0,80.0,9.0,January,1,Dry Season,0
2024-01-23,4.21,114708.0,56265.0,93544.0,16608.0,3.45,0.28,0.1,344.89,Morning,Medium,Normal Operation,7.24,124.0,25.0,101.0,20.0,January,1,Dry Season,0
2024-01-24,3.94,140000.0,75686.0,72651.0,13856.0,3.09,0.33,0.09,517.28,Afternoon,Medium,Normal Operation,7.12,180.0,30.0,112.0,11.0,January,1,Dry Season,0
2024-01-25,4.1,135731.0,65442.0,87490.0,16600.0,3.14,0.35,0.14,402.87,Night,Low,Normal Operation,7.22,180.0,39.0,91.0,14.0,January,1,Dry Season,0
2024-01-26,4.22,120236.0,59835.0,97606.0,18943.0,3.13,0.37,0.14,335.85,Night,Medium,Normal Operation,7.32,180.0,39.0,97.0,14.0,January,1,Dry Season,0
2024-01-27,3.99,115456.0,54565.0,89560.0,17843.0,2.86,0.28,0.08,377.59,Morning,High,Normal Operation,7.06,180.0,36.0,114.0,14.0,January,1,Dry Season,0
2024-01-28,4.27,116440.0,59856.0,77353.0,18639.0,3.19,0.42,0.11,411.86,Morning,Low,Normal Operation,7.02,180.0,30.0,111.0,10.0,January,1,Dry Season,0
2024-01-29,4.09,122362.0,67042.0,89528.0,15655.0,3.17,0.31,0.11,437.56,Afternoon,High,Normal Operation,7.28,180.0,38.0,101.0,12.0,January,1,Dry Season,0
2024-01-30,4.15,102726.0,52426.0,105337.0,22101.0,3.3,0.25,0.09,325.14,Morning,Low,Normal Operation,7.25,40.0,5.0,101.0,11.0,January,1,Dry Season,1
2024-01-31,4.09,111911.0,54365.0,101222.0,13883.0,3.23,0.34,0.07,306.58,Night,High,Normal Operation,7.07,180.0,19.0,79.0,11.0,January,1,Dry Season,0
2024-02-01,4.53,94977.0,48892.0,89442.0,19706.0,3.52,0.35,0.1,326.9,Afternoon,Medium,Normal Operation,7.16,180.0,33.0,80.0,6.0,February,1,Dry Season,0
2024-02-02,4.2,119791.0,55378.0,98563.0,22137.0,3.57,0.36,0.1,310.85,Afternoon,Medium,Normal Operation,7.15,180.0,32.0,86.0,19.0,February,1,Dry Season,0
2024-02-03,4.01,122766.0,66155.0,86701.0,19683.0,2.78,0.43,0.09,370.66,Morning,Low,Normal Operation,7.05,41.0,10.0,72.0,11.0,February,1,Dry Season,1
2024-02-04,4.35,109202.0,54635.0,74665.0,17291.0,3.55,0.34,0.11,344.53,Afternoon,Low,Normal Operation,7.21,79.0,11.0,81.0,7.0,February,1,Dry Season,1
2024-02-05,3.98,133888.0,66266.0,81680.0,16151.0,2.73,0.34,0.08,380.38,Afternoon,Low,Normal Operation,7.1,180.0,25.0,123.0,13.0,February,1,Dry Season,0
2024-02-06,4.24,100291.0,51007.0,104066.0,21626.0,3.44,0.28,0.08,281.13,Night,Low,Normal Operation,7.16,180.0,39.0,129.0,7.0,February,1,Dry Season,0
2024-02-07,3.85,97428.0,49929.0,87534.0,13020.0,3.45,0.4,0.1,306.3,Morning,Medium,Normal Operation,7.15,120.0,18.0,87.0,15.0,February,1,Dry Season,0
2024-02-08,3.96,117693.0,53807.0,87810.0,14605.0,2.5,0.36,0.11,307.01,Morning,Medium,Normal Operation,7.07,180.0,27.0,96.0,9.0,February,1,Dry Season,0
2024-02-09,4.24,127565.0,66112.0,87301.0,16609.0,3.24,0.32,0.08,379.53,Morning,Medium,Maintenance,7.23,180.0,37.0,92.0,5.0,February,1,Dry Season,0
2024-02-10,4.33,135207.0,64114.0,107137.0,22332.0,3.01,0.24,0.12,360.03,Morning,High,Normal Operation,7.13,180.0,28.0,110.0,15.0,February,1,Dry Season,0
2024-02-11,4.23,109493.0,57089.0,104634.0,19329.0,2.9,0.44,0.06,331.55,Afternoon,Medium,Normal Operation,7.29,180.0,34.0,117.0,19.0,February,1,Dry Season,0
2024-02-12,4.18,127944.0,68099.0,109969.0,14612.0,3.74,0.28,0.09,447.63,Night,Medium,Normal Operation,7.34,180.0,28.0,52.0,19.0,February,1,Dry Season,0
2024-02-13,4.15,114538.0,60750.0,88569.0,16914.0,2.94,0.31,0.09,407.84,Morning,Medium,Normal Operation,6.97,109.0,21.0,105.0,11.0,February,1,Dry Season,0
2024-02-14,3.93,112928.0,57057.0,92661.0,15850.0,2.88,0.37,0.09,352.54,Night,Medium,Normal Operation,7.21,180.0,33.0,54.0,13.0,February,1,Dry Season,0
2024-02-15,4.07,125604.0,63055.0,76350.0,15516.0,3.23,0.28,0.09,394.72,Morning,Medium,Normal Operation,7.28,180.0,30.0,125.0,8.0,February,1,Dry Season,0
2024-02-16,4.12,122828.0,57027.0,103292.0,21426.0,3.47,0.26,0.14,316.44,Morning,High,Normal Operation,7.19,180.0,35.0,108.0,11.0,February,1,Dry Season,0
2024-02-17,4.39,96083.0,50687.0,79490.0,13199.0,3.14,0.22,0.08,284.05,Morning,Low,Normal Operation,7.01,180.0,18.0,74.0,14.0,February,1,Dry Season,0
2024-02-18,4.26,132718.0,63325.0,91951.0,23631.0,3.67,0.39,0.15,372.76,Morning,Low,Maintenance,7.27,180.0,34.0,95.0,14.0,February,1,Dry Season,0
2024-02-19,3.88,131561.0,65737.0,80124.0,20899.0,3.41,0.32,0.11,415.19,Night,Medium,Normal Operation,7.23,180.0,37.0,97.0,8.0,February,1,Dry Season,0
2024-02-20,4.26,107493.0,51428.0,84700.0,21818.0,2.5,0.5,0.1,339.9,Morning,Low,Normal Operation,6.96,180.0,27.0,85.0,9.0,February,1,Dry Season,0
2024-02-21,4.13,119750.0,55490.0,82465.0,16380.0,2.99,0.29,0.11,355.55,Afternoon,High,Normal Operation,6.99,180.0,32.0,113.0,2.0,February,1,Dry Season,0
2024-02-22,4.08,120928.0,62031.0,84529.0,17475.0,2.98,0.29,0.15,377.66,Afternoon,High,Normal Operation,7.16,180.0,28.0,57.0,17.0,February,1,Dry Season,0
