Target,Feature,Importance
Final_pH,Input_Lime_kg_m3,0.2836665420964867
Final_pH,Raw_TSS_mgL,0.1010791522934349
Final_pH,Raw_TDS_mgL,0.092627590555217
Final_pH,Raw_pH,0.0844507158914591
Final_pH,Output_Biogas_m3_m3,0.0800421655521188
Final_pH,Raw_COD_mgL,0.079464080705642
Final_pH,Raw_BOD_mgL,0.0700973581252327
Final_pH,Input_Urea_kg_m3,0.0695688319530567
Final_pH,Input_DAP_kg_m3,0.0413201918651238
Final_pH,Quarter,0.0272677750294114
Final_COD_mgL,Production_Level_Low,0.1371476219838056
Final_COD_mgL,Operating_Shift_Morning,0.1149816533991883
Final_COD_mgL,Operating_Shift_Night,0.0786960853174643
Final_COD_mgL,Raw_TSS_mgL,0.0769330616396242
Final_COD_mgL,Production_Level_Medium,0.0645071703970794
Final_COD_mgL,Output_Biogas_m3_m3,0.0629683828669065
Final_COD_mgL,Plant_Status_Normal Operation,0.0624478029017399
Final_COD_mgL,Raw_pH,0.0612974774747598
Final_COD_mgL,Raw_COD_mgL,0.0560388332541895
Final_COD_mgL,Raw_TDS_mgL,0.0557880251009159
Final_BOD_mgL,Raw_TDS_mgL,0.0924317085202079
Final_BOD_mgL,Raw_TSS_mgL,0.089211635123577
Final_BOD_mgL,Output_Biogas_m3_m3,0.0874501110406399
Final_BOD_mgL,Raw_BOD_mgL,0.0856487434292339
Final_BOD_mgL,Production_Level_Low,0.0852592634416547
Final_BOD_mgL,Raw_pH,0.079164944446166
Final_BOD_mgL,Raw_COD_mgL,0.0780820398749783
Final_BOD_mgL,Input_Lime_kg_m3,0.0675757603628826
Final_BOD_mgL,Operating_Shift_Morning,0.065793074789125
Final_BOD_mgL,Input_Urea_kg_m3,0.0628428935995615
Final_TDS_mgL,Output_Biogas_m3_m3,0.1236649093517002
Final_TDS_mgL,Raw_TSS_mgL,0.1192011013821532
Final_TDS_mgL,Raw_TDS_mgL,0.1154763793707497
Final_TDS_mgL,Raw_COD_mgL,0.1125209346792817
Final_TDS_mgL,Raw_BOD_mgL,0.1061796935903703
Final_TDS_mgL,Input_Lime_kg_m3,0.0971699908238065
Final_TDS_mgL,Raw_pH,0.0901258796251602
Final_TDS_mgL,Input_Urea_kg_m3,0.0745589013102599
Final_TDS_mgL,Input_DAP_kg_m3,0.0546439492255529
Final_TDS_mgL,Quarter,0.0272390019210621
Final_TSS_mgL,Raw_TDS_mgL,0.1208940949583156
Final_TSS_mgL,Raw_TSS_mgL,0.113689106248248
Final_TSS_mgL,Output_Biogas_m3_m3,0.1132580493376913
Final_TSS_mgL,Raw_COD_mgL,0.1052303986409619
Final_TSS_mgL,Input_Lime_kg_m3,0.1035758782354031
Final_TSS_mgL,Raw_BOD_mgL,0.0989538572654732
Final_TSS_mgL,Raw_pH,0.0988127135425101
Final_TSS_mgL,Input_Urea_kg_m3,0.0785607216102378
Final_TSS_mgL,Input_DAP_kg_m3,0.0575109086016168
Final_TSS_mgL,Quarter,0.0270594841482366
