Feature,Importance
Production_Level_Low,0.1371476219838056
Operating_Shift_Morning,0.1149816533991883
Operating_Shift_Night,0.07869608531746433
Raw_TSS_mgL,0.0769330616396242
Production_Level_Medium,0.06450717039707948
Output_Biogas_m3_m3,0.0629683828669065
Plant_Status_Normal Operation,0.06244780290173992
Raw_pH,0.06129747747475985
Raw_COD_mgL,0.05603883325418954
Raw_TDS_mgL,0.05578802510091596
Input_Lime_kg_m3,0.05547372584704315
Raw_BOD_mgL,0.05020794554382622
Input_Urea_kg_m3,0.04446988534062443
Input_DAP_kg_m3,0.03524294325141394
Quarter,0.023756646900667974
Season_Long Rains,0.00761281261277329
Season_Dry Season,0.007393346945937309
Season_Short Rains,0.005036579222039934
