Feature,Importance
Output_Biogas_m3_m3,0.12366490935170023
Raw_TSS_mgL,0.11920110138215328
Raw_TDS_mgL,0.11547637937074971
Raw_COD_mgL,0.11252093467928172
Raw_BOD_mgL,0.1061796935903703
Input_Lime_kg_m3,0.09716999082380658
Raw_pH,0.09012587962516028
Input_Urea_kg_m3,0.07455890131025991
Input_DAP_kg_m3,0.05464394922555299
Quarter,0.027239001921062128
Operating_Shift_Night,0.012828663712731312
Production_Level_Medium,0.011730795135963885
Operating_Shift_Morning,0.01133659991019666
Production_Level_Low,0.01085411087799688
Season_Dry Season,0.009773813727460001
Season_Long Rains,0.009634861860475775
Plant_Status_Normal Operation,0.00659284478175979
Season_Short Rains,0.006467568713318491
