Feature,Importance
Raw_TDS_mgL,0.1208940949583156
Raw_TSS_mgL,0.11368910624824805
Output_Biogas_m3_m3,0.11325804933769137
Raw_COD_mgL,0.10523039864096193
Input_Lime_kg_m3,0.1035758782354031
Raw_BOD_mgL,0.09895385726547322
Raw_pH,0.0988127135425101
Input_Urea_kg_m3,0.07856072161023789
Input_DAP_kg_m3,0.05751090860161688
Quarter,0.02705948414823668
Production_Level_Low,0.01286949977803385
Operating_Shift_Morning,0.012758662549516037
Production_Level_Medium,0.01236000264055518
Operating_Shift_Night,0.010685122975748213
Season_Long Rains,0.010566740711780698
Season_Dry Season,0.0086869464156003
Plant_Status_Normal Operation,0.007522208523959141
Season_Short Rains,0.007005603816111893
