Feature,Importance
Input_Lime_kg_m3,0.2836665420964867
Raw_TSS_mgL,0.10107915229343499
Raw_TDS_mgL,0.09262759055521703
Raw_pH,0.08445071589145915
Output_Biogas_m3_m3,0.08004216555211884
Raw_COD_mgL,0.07946408070564202
Raw_BOD_mgL,0.07009735812523278
Input_Urea_kg_m3,0.0695688319530567
Input_DAP_kg_m3,0.04132019186512382
Quarter,0.02726777502941146
Operating_Shift_Night,0.010628818050647531
Production_Level_Medium,0.010172153612264782
Operating_Shift_Morning,0.010049304733361334
Season_Long Rains,0.009685218310551406
Season_Dry Season,0.008892148715801317
Production_Level_Low,0.008339858523548523
Season_Short Rains,0.006549132875050184
Plant_Status_Normal Operation,0.006098961111591545
