Feature,Weight
Input_DAP_kg_m3 > 0.49,-0.015231192156830628
Season_Dry Season <= -0.59,0.00580941181155571
Operating_Shift_Morning <= -0.80,-0.005260644474596612
Season_Short Rains <= -0.48,-0.004351445183400145
-0.63 < Input_Urea_kg_m3 <= 0.02,0.0034909128155399104
-1.02 < Production_Level_Medium <= 0.99,-0.0034721232933179144
Season_Long Rains <= -0.63,0.001682424818578802
-1.25 < Quarter <= -0.31,0.0015610614091203599
-0.58 < Operating_Shift_Night <= 1.71,-0.0010285865619095095
Output_Biogas_m3_m3 > 0.65,-0.0007746264385876668
