Feature,Importance,Std
Production_Level_Low,0.13389258656875608,0.017741889791948642
Operating_Shift_Morning,0.11574853657299364,0.019046107507736883
Operating_Shift_Night,0.0921892245854434,0.02553709258447552
Production_Level_Medium,0.036286077381799474,0.011568589531603933
Input_Urea_kg_m3,0.006240784533312171,0.010923717699246493
Season_Short Rains,0.0008074004769658139,0.0005020130963306459
Input_Lime_kg_m3,0.00023569741536257904,0.0003210005549729743
Season_Long Rains,0.0002143092401251545,0.000339504092560629
Plant_Status_Normal Operation,0.0,0.0
Raw_pH,0.0,0.0
Raw_COD_mgL,0.0,0.0
Output_Biogas_m3_m3,0.0,0.0
Raw_TSS_mgL,0.0,0.0
Raw_TDS_mgL,0.0,0.0
Raw_BOD_mgL,0.0,0.0
Season_Dry Season,-0.0011592586338960097,0.0005603644892605905
Input_DAP_kg_m3,-0.0015109462621762271,0.004323402529911243
Quarter,-0.0018162044129534927,0.0013599064350179797
