Feature,Importance,Std
Production_Level_Low,0.14585254761683486,0.012637781395612018
Production_Level_Medium,0.053654002594671665,0.00838182148980907
Operating_Shift_Morning,0.04877970522786532,0.02764418697595109
Operating_Shift_Night,0.0437598617031537,0.009912340174006051
Season_Long Rains,0.0027566582087162673,0.0008940339553232279
Season_Short Rains,0.000590948691192883,0.0006605491814350343
Quarter,0.00013221485911857345,0.00048412127867330623
Output_Biogas_m3_m3,0.0,0.0
Raw_COD_mgL,0.0,0.0
Raw_TSS_mgL,0.0,0.0
Raw_TDS_mgL,0.0,0.0
Plant_Status_Normal Operation,0.0,0.0
Raw_BOD_mgL,0.0,0.0
Raw_pH,0.0,0.0
Input_Lime_kg_m3,-0.0001903500357114285,0.00012052891291859041
Input_Urea_kg_m3,-0.0018633960836597185,0.0015589995239042856
Season_Dry Season,-0.0020658786356428484,0.0007995259270521987
Input_DAP_kg_m3,-0.004006794552758386,0.0033158262235749325
