Feature,Importance,Std
Season_Short Rains,0.0035425336425484177,0.003346135368216336
Operating_Shift_Morning,0.0015936287540838645,0.002294112433184898
Season_Dry Season,0.00152239139532091,0.004076674137138252
Input_Urea_kg_m3,0.0009694252048977781,0.005281235760859554
Input_Lime_kg_m3,0.0004410610647409774,0.00046304696324015295
Output_Biogas_m3_m3,0.0,0.0
Plant_Status_Normal Operation,0.0,0.0
Raw_COD_mgL,0.0,0.0
Raw_pH,0.0,0.0
Raw_TSS_mgL,0.0,0.0
Raw_TDS_mgL,0.0,0.0
Raw_BOD_mgL,0.0,0.0
Production_Level_Medium,-1.6364242494137927e-05,0.0013775123105718655
Production_Level_Low,-1.670187161473269e-05,0.0004558191785961526
Quarter,-0.0009304675209045099,0.00041033659632537663
Season_Long Rains,-0.0009882286583996036,0.0017180384425341093
Operating_Shift_Night,-0.001428474820123804,0.0008238875709309969
Input_DAP_kg_m3,-0.016233683664849542,0.014276934619728338
