Feature,Importance,Std
Input_Urea_kg_m3,0.006548919032928291,0.002737718279117374
Season_Dry Season,0.0026216274069061794,0.0030382942192422593
Production_Level_Low,0.0021899758182682416,0.0029470932010793997
Input_Lime_kg_m3,0.002014386721559858,0.0010777390363976994
Season_Long Rains,0.0018194495688242606,0.0012547304301160792
Operating_Shift_Night,0.001216728753452967,0.001066594294777619
Operating_Shift_Morning,0.0009095800331992976,0.001525574677507173
Raw_pH,0.0,0.0
Plant_Status_Normal Operation,0.0,0.0
Raw_BOD_mgL,0.0,0.0
Raw_TDS_mgL,0.0,0.0
Raw_TSS_mgL,0.0,0.0
Output_Biogas_m3_m3,0.0,0.0
Raw_COD_mgL,0.0,0.0
Quarter,-0.0005940990378718647,0.0008404934190357189
Season_Short Rains,-0.0008372391456954898,0.0009467682800780913
Input_DAP_kg_m3,-0.0014182088212511545,0.004009650303757804
Production_Level_Medium,-0.0018477284007889726,0.0014919944131209376
