Feature,Importance,Std
Quarter,0.006838947800687789,0.003814088441773023
Input_Lime_kg_m3,0.0018222377409604195,0.0008420712879336932
Season_Long Rains,0.0012878433144947854,0.001329567851975706
Production_Level_Low,0.0007713015325907068,0.00023011175076381678
Raw_TDS_mgL,-2.531308496145357e-15,3.395467880838381e-15
Raw_COD_mgL,-3.4638958368304883e-15,3.6447795055286734e-15
Raw_BOD_mgL,-3.4638958368304883e-15,7.362511602860929e-15
Raw_pH,-5.1292303737682235e-15,4.968493022506349e-15
Raw_TSS_mgL,-5.4178883601707636e-15,4.649382857468158e-15
Output_Biogas_m3_m3,-5.7065463465733045e-15,5.560034151101427e-15
Plant_Status_Normal Operation,-6.372680161348398e-15,5.313365476198934e-15
Operating_Shift_Night,-0.00028944220759690164,0.0007738233472665017
Season_Short Rains,-0.0010749268447996841,0.002508597684399882
Season_Dry Season,-0.0017268545016995596,0.0023132942072897882
Input_Urea_kg_m3,-0.002253404207584464,0.006066174818690217
Input_DAP_kg_m3,-0.003201439042067644,0.0113693027150794
Production_Level_Medium,-0.004872931082027221,0.0017629042390314808
Operating_Shift_Morning,-0.00948484561757008,0.00386051727165339
